,Activity Start Time,Activity End Time,Mapping Name,Targets Parsed,Status,Comments
0,"2020-01-16 17:38:40.563411
",2020-01-16 17:38:42.919243,SDE_ORA_BOMHeaderDimension.xml,1,Pass,One or more Target Definitions found in current mapping xml.
1,"2020-01-16 17:38:42.919243
",2020-01-16 17:39:10.881426,SIL_APTermsDimension.xml,1,Pass,One or more Target Definitions found in current mapping xml.
